from	to	type
LENALIDOMIDE	Tnf	inhibitor
ABIRATERONE	Cyp17a1	inhibitor
ROSUVASTATIN CALCIUM	Hmgcr	inhibitor
GLEMANSERIN	Htr2b	antagonist
TAPENTADOL	Slc6a2	inhibitor
BROMOCRIPTINE	Drd4	antagonist
DOVITINIB	Fgfr3	inhibitor
BORTEZOMIB	Psmd9	inhibitor
ZOLPIDEM TARTRATE	Gabrg2	positive_allosteric_modulator
CHEMBL592893	Ikbkb	inhibitor
CHEMBL237236	Mtnr1a	agonist
MEPROBAMATE	Gabrq	agonist
PROPAFENONE HYDROCHLORIDE	Scn4a	blocker
QUINACRINE DIHYDROCHLORIDE	Rock1	inhibitor
ETHOPROPAZINE	Chrm1	antagonist
CHEMBL366266	Prkcb	inhibitor
GABAPENTIN ENACARBIL	Cacnb4	modulator
ELEDOISIN	Tacr1	agonist
GLIPIZIDE	Abcc8	blocker
DOXYCYCLINE CALCIUM	Mmp1b	inhibitor
AVOSENTAN	Ednra	antagonist
REPARIXIN	Cxcr2	antagonist
LACOSAMIDE	Scn5a	blocker
PILARALISIB (CHEMBL3360203)	Pik3cd	inhibitor
ALOGLIPTIN	Dpp4	inhibitor
CHEMBL1628667	Chrm5	antagonist
BI-2536	Plk1	inhibitor
CHEMBL1709719	Kcnn2	activator
SR9011	Nr1d2	agonist
BOSENTAN	Ednrb	antagonist
HYDROXYUREA	Rrm1	inhibitor
CUDC-907	Hdac7	inhibitor
ALPRAZOLAM	Gabra5	positive_allosteric_modulator
CHEMBL2016873	Plg	inhibitor
ALISKIREN FUMARATE	Ren1	inhibitor
CHLORDIAZEPOXIDE	Gabrb3	positive_allosteric_modulator
VALPROATE SODIUM	Aldh5a1	inhibitor
NERATINIB	Egfr	inhibitor
GSK-650394	Sgk1	inhibitor
DOXYCYCLINE HYCLATE	Mmp8	inhibitor
RG-7603	Mtor	inhibitor
CLOBAZAM	Gabra6	positive_allosteric_modulator
GO-6976	Prkd1	inhibitor
CAFFEINE, CITRATED	Adora3	antagonist
AT-7519	Cdk6	inhibitor
CUDC-101	Hdac9	inhibitor
DIAZEPAM	Gabra2	positive_allosteric_modulator
TG-02	Cdk1	inhibitor
CHEMBL1801250	Hdac2	inhibitor
SONOLISIB	Pik3cg	inhibitor
NW-3509	Scn2a	blocker
NAXIFYLLINE	Adora1	antagonist
SPINORPHIN	Fpr1	antagonist
Asapiprant	Ptgdr	antagonist
LY-2606368	Chek1	inhibitor
FAMOTIDINE	Hrh2	antagonist
RG-7666	Pik3r5	inhibitor
T-BUTYLBICYCLOPHOSPHOROTHIONATE	Gabrq	channel_blocker
ELETRIPTAN HYDROBROMIDE	Htr1b	agonist
CELECOXIB	Cpt2	inhibitor
JNJ-42756493	Kdr	inhibitor
Dolasetron Mesylate	Htr3a	antagonist
CORTICOTROPIN	Oprd1	agonist
CHEMBL1709719	Kcnn4	activator
PHENTOLAMINE MESYLATE	Adra1a	antagonist
DNK333	Tacr2	antagonist
SALSALATE	Cacnb2	inhibitor
ENTINOSTAT	Hdac3	inhibitor
PAZOPANIB HYDROCHLORIDE	Kit	inhibitor
CLOTRIMAZOLE	Cyp3a13	inhibitor
LEUCOVORIN	Map2k3	inhibitor
TETRABENAZINE	Slc18a2	inhibitor
MUBRITINIB	Erbb2	inhibitor
PF-04634817	Ccr2	antagonist
ALTIRATINIB	Met	inhibitor
DIPRAGLURANT	Grm5	modulator
INSULIN ZINC SUSP PURIFIED PORK	Insr	agonist
EGF816	Egfr	inhibitor
GEDATOLISIB	Mtor	inhibitor
AZD-6738	Atr	inhibitor
PHENAZOPYRIDINE HYDROCHLORIDE	Scn5a	blocker
AMINOPHYLLINE	Pde3b	inhibitor
LOXAPINE SUCCINATE	Drd3	antagonist
ACETAMINOPHEN	Ptgs1	inhibitor
PIMASERTIB	Map2k2	inhibitor
IC261	Csnk1d	inhibitor
GSK-690693	Akt3	inhibitor
AMITRIPTYLINE	Chrm5	antagonist
BORTEZOMIB	Psmb1	inhibitor
CHEMBL524266	Cdk9	inhibitor
MERCAPTOPURINE	Avpr1a	antagonist
OLCEGEPANT	Tap2	antagonist
APABETALONE	Brd3	antagonist;inhibitor
NV-128	Ndufa10	inhibitor
CILASTATIN	Dpep1	inhibitor
GSK-1070916	Aurkc	inhibitor
AMG-900	Aurka	inhibitor
NV-128	Ndufa12	inhibitor
CHEMBL1086339	Trpa1	gating_inhibitor
CHEMBL169233	Trpm3	gating_inhibitor
SONOLISIB	Pik3r3	inhibitor
REGORAFENIB	Pdgfra	inhibitor
DINOPROSTONE	Catsper3	activator
GOSERELIN	Gnrh1	activator
BUPARLISIB HYDROCHLORIDE	Pik3r4	inhibitor
DODECANOL	Lck	inhibitor
AZD8108	Grin2b	antagonist
HEXAFLUORENIUM BROMIDE	Ache	inhibitor
CHEMBL273807	Adora2b	antagonist
FANANSERIN	Htr2a	antagonist
NITRIC OXIDE	Npr1	stimulator
NEBENTAN	Ednra	antagonist
NIFEDIPINE	Cacna1c	blocker
FORODESINE	Pnp	inhibitor
PANOBINOSTAT LACTATE	Hdac8	inhibitor
PERIFOSINE	Akt1	inhibitor
AMLODIPINE MALEATE	Cacna1d	blocker
MERETHOXYLLINE PROCAINE	Scn9a	blocker
VEDOLIZUMAB	Itga4	inhibitor
TRIAZOLAM	Gabrb1	positive_allosteric_modulator
XL-999	Pdgfrb	inhibitor
CHEMBL435402	P2ry12	agonist
A-119637	Adra1a	antagonist
ALENDRONIC ACID	Sstr5	agonist
COLCHICINE	Tubb5	inhibitor
NANDROLONE	Ar	agonist
THALIDOMIDE	Crbn	inhibitor
COPANLISIB	Pik3ca	inhibitor
MIGLITOL	Gaa	inhibitor
SAREDUTANT	Tacr2	antagonist
CANGRELOR TETRASODIUM	P2ry12	antagonist
GABAPENTIN	Cacna1b	modulator
DEXTROAMPHETAMINE	Slc6a3	inhibitor
CHEMBL541253	Galr1	agonist
AZD-5363	Akt1	inhibitor
APITOLISIB	Pik3cd	inhibitor
CHLORPROMAZINE	Trpc5	channel_blocker
METITEPINE	Htr1f	antagonist
CEP-1347	Map3k13	inhibitor
DESFLURANE	Gabrd	positive_allosteric_modulator
CEDIRANIB	Kdr	inhibitor
MELATONAN	Mc4r	agonist
TELAPRISTONE ACETATE	Pgr	modulator
DALFAMPRIDINE	Kcnh7	blocker
BIRINAPANT	Birc2	antagonist
INSULIN GLARGINE	Insr	binder
OXYMORPHONE HYDROCHLORIDE	Oprd1	agonist
Refametinib	Map2k2	allosteric_modulator
CHEMBL1231533	Pik3ca	inhibitor
CHEMBL382739	S1pr4	agonist
PARDOPRUNOX	Drd2	partial_agonist
MECLOFENAMATE SODIUM	Ptgs1	inhibitor
METHYL NONYL KETONE	Csnk1g1	inhibitor
CARFILZOMIB	Psmb9	inhibitor
NINTEDANIB	Pdgfrb	inhibitor
CHEMBL509819	F2rl1	agonist
RISPERIDONE	Drd3	antagonist
XL-844	Cds1	inhibitor
MEXILETINE HYDROCHLORIDE	Scn3a	blocker
CARTEOLOL	Anpep	inhibitor
RECILISIB	Pik3cg	inhibitor
CHEMBL1321988	P2ry6	antagonist
TRIAMCINOLONE DIACETATE	Grm8	allosteric_modulator
CHEMBL264421	Ptgdr2	agonist
CHEMBL287327	Grin2a	antagonist
BATEFENTEROL	Adrb2	agonist
PIRBUTEROL	Dlx3	agonist
DIPYRIDAMOLE	Pde1b	inhibitor
CHEMBL67158	Ccr4	agonist
PWT-33587	Pik3r2	inhibitor
SECOBARBITAL SODIUM	Gabra6	positive_allosteric_modulator
VORAPAXAR SULFATE	F2r	antagonist
ARBACLOFEN	Gabbr2	agonist
METITEPINE	Htr6	antagonist
RITANSERIN	Htr1b	antagonist
TONAPOFYLLINE	Adora1	antagonist
PD-0325901	Map2k1	inhibitor
MK-0893	Adcyap1r1	antagonist
LAS101057	Adora2b	antagonist
GLYBURIDE	Cftr	channel_blocker
BELAPERIDONE	Drd4	antagonist
NIFEDIPINE	Cacna1f	blocker
PARDOPRUNOX	Htr1a	agonist
CEDIRANIB	Kit	inhibitor
CARPROFEN	Ptgs2	inhibitor
FENCLONINE	Tph1	inhibitor
INOTUZUMAB OZOGAMICIN	Cd22	antibody
CHEMBL1233797	P2ry1	agonist
CHEMBL2110360	Mchr1	antagonist
ENOXIMONE	Pde3a	inhibitor
LINSITINIB	Insrr	inhibitor
HYDROCORTISONE SODIUM PHOSPHATE	Nr3c1	agonist
SELUMETINIB	Map2k6	inhibitor
SUPROFEN	Ptgs1	inhibitor
NICOTINIC ACID ADENINE DINUCLEOTIDE PHOSPHATE	Trpm2	activator
OLMESARTAN	Agtr1b	antagonist
NS-018	Jak3	inhibitor
CEDIRANIB	Kdr	inhibitor
BETHANECHOL CHLORIDE	Chrm2	agonist
BORTEZOMIB	Psme3	inhibitor
2-METHOXYESTRADIOL	Tubb1	binder
LUCITANIB	Pdgfrb	inhibitor
HYDROXYAMPHETAMINE HYDROBROMIDE	Adra1a	agonist
ALENDRONIC ACID	Sstr2	agonist
CLONAZEPAM	Gabre	positive_allosteric_modulator
FOSBRETABULIN DISODIUM	Tubb5	inhibitor
CHEMBL13668	Drd1	antagonist
APITOLISIB	Mtor	inhibitor
CHEMBL134519	Htr2b	agonist
ZALEPLON	Gabra1	positive_allosteric_modulator
RUTHENIUM RED	Trpv1	channel_blocker
TIAPRIDE	Scn10a	inhibitor
ETHOSUXIMIDE	Cacna1g	blocker
CHEMBL230963	Htr1a	agonist
PRIMAQUINE PHOSPHATE	Galr2	agonist
TRIMIPRAMINE MALEATE	Drd2	antagonist
SIROLIMUS	Mtor	inhibitor
APAZIQUONE	Nqo1	activator
SETMELANOTIDE	Mc4r	agonist
TALBUTAL	Gabra2	positive_allosteric_modulator
TANDUTINIB	Kit	inhibitor
LAPATINIB	Egfr	inhibitor
CODEINE PHOSPHATE HYDRATE	Oprk1	agonist
EVEROLIMUS	Mtor	inhibitor
TEDISAMIL	Kcng3	blocker
CGS-27023A	Mmp25	inhibitor
PITAVASTATIN CALCIUM	Hmgcr	inhibitor
VORINOSTAT	Hdac10	inhibitor
CHEMBL228955	Hmgcr	inhibitor
SEMAXANIB	Kdr	inhibitor
ORPHENADRINE CITRATE	Scn1a	blocker
PHENYTOIN SODIUM	Scn1a	blocker
PL-225B	Igf1r	inhibitor
TEDISAMIL	Kcna2	blocker
DS-7423	Mtor	inhibitor
PREXASERTIB	Chek1	inhibitor
AG-24322	Cdk4	inhibitor
PHYSOSTIGMINE	Bche	inhibitor
TEMAZEPAM	Gabrb3	positive_allosteric_modulator
GSK-690693	Prkcq	inhibitor
Allitinib	Erbb2	inhibitor
PAZOPANIB	Pdgfra	inhibitor
MINOXIDIL	Kcnj11	activator
BARDOXOLONE METHYL	Keap1	inhibitor
LISURIDE	Htr2a	agonist
PENTOXIFYLLINE	Pde5a	inhibitor
ENMD-981693	Cdk4	inhibitor
FLINDOKALNER	Kcnq5	activator
BUMETANIDE	Gpr35	agonist
DUSIGITUMAB	Igf1	inhibitor
TRIFLUOPERAZINE	Drd4	antagonist
ESTRAMUSTINE PHOSPHATE SODIUM	Esr2	modulator
CARBINOXAMINE MALEATE	Hrh1	antagonist
DACOMITINIB	Erbb3	inhibitor
LIDOCAINE HYDROCHLORIDE HYDRATE	Scn2a	blocker
FELBAMATE	Grin2b	antagonist
PREDNISOLONE SODIUM PHOSPHATE	Nr3c1	agonist
K-252A	Avpr1a	antagonist
CHEMBL1229592	Erbb4	inhibitor
PASIREOTIDE PAMOATE	Sstr3	agonist
CHEMBL485862	Adora2b	antagonist
cA2	Gja4	inhibitor
PROPOXYCAINE HYDROCHLORIDE	Scn10a	blocker
GALMIC	Galr1	agonist
DANUSERTIB	Aurkb	inhibitor
FLAVONE	Adora3	antagonist
DACINOSTAT	Hdac1	inhibitor
ONDANSETRON HYDROCHLORIDE	Htr3a	antagonist
FLURBIPROFEN	Ptgs1	inhibitor
BUTETHAL	Gabra1	antagonist
AKN-028	Flt3	inhibitor
ZAFIRLUKAST	Cysltr1	antagonist
ADENOSINE	Pi4k2a	inhibitor
CHEMBL1628667	Chrm2	antagonist
REVATROPATE	Chrm1	antagonist
VICRIVIROC	Ccr5	antagonist
ALDOSTERONE	Slc12a2	blocker
METHADONE HYDROCHLORIDE	Oprm1	agonist
FLURAZEPAM HYDROCHLORIDE	Gabra4	positive_allosteric_modulator
TOSEDOSTAT	Erap1	inhibitor
CRISABOROLE	Pde4d	inhibitor
SERTRALINE HYDROCHLORIDE	Htt	inhibitor
NIFEDIPINE	Cacna1d	gating_inhibitor
AXITINIB	Kdr	inhibitor
PIRIBEDIL (CHEMBL1371770)	Htr2b	antagonist
AXITINIB	Kdr	inhibitor
BETAXOLOL HYDROCHLORIDE	Adrb1	antagonist
RU-24969	Htr1a	agonist
DRONEDARONE	Kcna5	inhibitor
Fasinumab	Ngf	inhibitor
IXABEPILONE	Tubb6	inhibitor
TAMIBAROTENE	Rara	agonist
NV-128	mt-Nd4l	inhibitor
CHEMBL513056	Hrh2	agonist
TEDISAMIL	Kcna1	blocker
CHEMBL287327	Grin2b	antagonist
CHEMBL1788358	Mtnr1a	agonist
PANOBINOSTAT	Hdac5	inhibitor
CHEMBL111545	Adora3	antagonist
ROMIDEPSIN	Hdac7	inhibitor
RIVASTIGMINE	Bche	inhibitor
CYPROTERONE	Ar	antagonist
DRONEDARONE HYDROCHLORIDE	Kcnj2	blocker
CHLORPROMAZINE	Drd2	antagonist
APOMORPHINE HYDROCHLORIDE	Drd3	agonist
METHOTREXATE SODIUM	Dhfr	inhibitor
LOXAPINE	Htr2a	antagonist
DOXACURIUM CHLORIDE	Chrnb1	antagonist
CHEMBL1474918	Kcnh2	gating_inhibitor
COENZYME_A	Chrm5	antagonist
QUAZEPAM	Gabra3	positive_allosteric_modulator
APD334	S1pr1	agonist
MOZAVAPTAN	Avpr2	antagonist
TG100-801	Kdr	inhibitor
SILODOSIN	Adra1a	antagonist
PSEUDOEPHEDRINE	Prmt1	inhibitor
ATOMOXETINE HYDROCHLORIDE	Nat2	inhibitor
CHEMBL116837	Tbxa2r	antagonist
CHEMBL1213492	Hdac9	inhibitor
ALBUTEROL	Sstr5	agonist
MK-7246	Ptgdr2	antagonist
GABAPENTIN ENACARBIL	Cacnb1	modulator
PENTOXIFYLLINE	Pde10a	inhibitor
DALFAMPRIDINE	Kcnh4	blocker
MORICIZINE HYDROCHLORIDE	Scn7a	blocker
GSK-2636771	Pik3r5	inhibitor
TRASTUZUMAB	Erbb2	antibody
EVT-101 (CHEMBL3545349)	Grin2b	antagonist
LORATADINE	Hrh1	antagonist
OBLIMERSEN SODIUM	Bcl2	antisense_oligonucleotide
TRIFLUOPERAZINE HYDROCHLORIDE	Drd4	antagonist
CUDC-101	Hdac9	inhibitor
TRIAMCINOLONE DIACETATE	Nr3c1	agonist
METRIBOLONE	Ar	agonist
IXAZOMIB CITRATE	Psmd12	inhibitor
CHEMBL405908	Nmbr	antagonist
LESTAURTINIB	Ntrk1	inhibitor
ROPIVACAINE HYDROCHLORIDE	Scn7a	blocker
REGORAFENIB	Flt4	inhibitor
TRASTUZUMAB EMTANSINE	Tubb3	inhibitor
QUERCETIN	Prkcq	inhibitor
PA-799	Pik3r3	inhibitor
GEFITINIB	Egfr	inhibitor
ORANTINIB	Fgfr3	inhibitor
DINOPROSTONE	Ptger1	agonist
CROLIBULIN	Tubb2a	inhibitor
ETHOXZOLAMIDE	Car12	inhibitor
HALAZEPAM	Gabrb3	positive_allosteric_modulator
DIBUCAINE	Scn5a	blocker
ACETAMINOPHEN	Ptgs2	inhibitor
NALORPHINE	Oprd1	agonist
NELIVAPTAN	Avpr1b	antagonist
INTERFERON BETA-1B	Ifnar1	agonist
DESVENLAFAXINE	Nat2	inhibitor
NRX-1074	Grin2d	partial_agonist
AVOSENTAN	Ednra	antagonist
OMAPATRILAT	Mme	inhibitor
GUANIDINE HYDROCHLORIDE	Kcna1	blocker
CARFILZOMIB	Psmb7	inhibitor
ISOTRETINOIN	Rara	agonist
CONESTAT ALFA	C1s1	inhibitor
BRL-15,572	Htr6	agonist
GLYCINE	Gprc6a	agonist
THIOPENTAL SODIUM	Gabrp	positive_allosteric_modulator
ODELEPRAN	Oprd1	antagonist
LATANOPROSTENE BUNOD	Ptgfr	agonist
CHEMBL219160	Adora3	antagonist
OXYTOCIN	Avpr2	agonist
CHEMBL435323	Avpr1b	agonist
ANANDAMIDE	Gpr55	agonist
AMG-319	Pik3cd	inhibitor
GSK-461364	Plk1	inhibitor
ADENOSINE DIPHOSPHATE	Trpm4	gating_inhibitor
CIMETIDINE	Hrh2	antagonist
LOXAPINE HYDROCHLORIDE	Htr2c	antagonist
THIOPENTAL SODIUM	Gabra2	positive_allosteric_modulator
BAY-1082439	Pik3cb	inhibitor
TRAMETINIB	Map2k1	inhibitor
BEPOTASTINE BESYLATE	Hrh1	antagonist
NV-128	Ndufaf1	inhibitor
DASATINIB	Csf1r	inhibitor
PREDNISONE	Nr3c1	agonist
SILODOSIN	Adra1a	antagonist
RECILISIB	Pik3cd	inhibitor
SURINABANT	Cnr1	antagonist
RALTITREXED	Tyms	inhibitor
TASIMELTEON	Mtnr1b	agonist
CLOFILIUM	Kcnt1	channel_blocker
CHEMBL302715	Gabra5	allosteric_modulator
ESTROGENS, ESTERIFIED	Esr2	agonist
CRENOLANIB	Csf1r	inhibitor
DONEPEZIL	Ache	inhibitor
CHEMBL316069	Htr2a	antagonist
CARFILZOMIB	Psmd3	inhibitor
SCH-708980	Il10	inhibitor
GADOBENATE DIMEGLUMINE	Trpm6	activator
PROPOFOL	Gabra5	positive_allosteric_modulator
Derenofylline	Adora2b	antagonist
GEMFIBROZIL	Lpl	activator
ROLOFYLLINE (CHEMBL2103819)	Adora2b	antagonist
NEXTURASTAT A	Hdac1	inhibitor
DYCLONINE HYDROCHLORIDE	Scn8a	blocker
DENILEUKIN DIFTITOX	Eef2	inhibitor
PF-04958242	Gria4	positive_allosteric_modulator
PI-103	Pik3r5	inhibitor
CARVEDILOL	Adrb3	antagonist
CAPTOPRIL	Ace	inhibitor
CERIVASTATIN	Hmgcr	inhibitor
FOSPHENYTOIN SODIUM	Scn3a	blocker
AT-9283	Aurkb	inhibitor
CEVIMELINE HYDROCHLORIDE	Chrm3	agonist
CHEMBL2311186	Oprd1	agonist
METARAMINOL	Mapk8	inhibitor
RIVANICLINE	Chrna4	agonist
CHEMBL408846	Bdkrb1	antagonist
CHEMBL299683	Grm7	antagonist
DEXLANSOPRAZOLE	Atp4a	inhibitor
CHEMBL302765	Adora3	agonist;antagonist
5-BENZYLOXYTRYPTAMINE	Trpm8	channel_blocker
CHEMBL1801250	Hdac1	inhibitor
XIMELAGATRAN	F2	inhibitor
NIMESULIDE	Ptgs2	inhibitor
TEMAZEPAM	Galr1	agonist
LARAZOTIDE ACETATE	Chrnb4	partial_agonist
AZALANSTAT	Cyp19a1	inhibitor
HYDROCORTISONE SODIUM SUCCINATE	Nr3c1	agonist
MOTESANIB	Flt4	inhibitor
NEUROTENSIN	Ntsr1	agonist
CHEMBL309566	Adora2a	antagonist
TRIMETHADIONE	Cacna1i	blocker
FINGOLIMOD HYDROCHLORIDE	S1pr1	inhibitor
MK-2461	Flt3	inhibitor
PLX-3397	Csf1r	inhibitor
SERTINDOLE	Hcrtr1	antagonist
REGORAFENIB	Flt1	inhibitor
CARBENOXOLONE	Gje1	inhibitor
AZD1305	Erg	blocker
CHEMBL182310	Cyp4f15	inhibitor
ALCAFTADINE	Hrh1	antagonist
SULFOXONE SODIUM	Prmt5	inhibitor
CHEMBL377219	P2rx7	antagonist
SR16234 (CHEMBL3545210)	Esr1	antagonist
MIDOSTAURIN	Prkcz	inhibitor
BUPARLISIB HYDROCHLORIDE	Pik3r3	inhibitor
CHEMBL419627	Ggps1	inhibitor
PROMAZINE	Chrm5	binder
METHOCTRAMINE	Chrm2	antagonist
BRIAKINUMAB	Il23a	inhibitor
PHA-793887	Cdk17	inhibitor
AMLODIPINE	Cacna1d	gating_inhibitor
GLYCOPYRROLATE	Chrm4	antagonist
DIAZEPAM	Gabrq	positive_allosteric_modulator
INCB-040093	Pik3cd	inhibitor
REGORAFENIB	Braf	inhibitor
NOLPITANTIUM	Tacr1	antagonist
CHEMBL225157	Tlr4	antagonist
QUAZEPAM	Gabra2	positive_allosteric_modulator
XANTHINE AMINE CONGENER	Adora3	antagonist
CHEMBL66089	Adk	inhibitor
FILGOTINIB	Jak2	inhibitor
SORAFENIB	Pdgfrb	inhibitor
ME-344	Ndufv2	inhibitor
MEPREDNISONE	Nr3c1	agonist
GISADENAFIL	Pde5a	inhibitor
STAUROSPORINE	Prkci	inhibitor
CHEMBL362051	Adra2a	antagonist
ARBACLOFEN PLACARBIL	Gabbr1	agonist
TIPROLISANT	Hrh2	antagonist
TANDUTINIB	Pdgfra	inhibitor
METFORMIN HYDROCHLORIDE	mt-Nd4l	inhibitor
TRICHOSTATIN	Hdac8	inhibitor
FLUOROMETHOLONE	Nr3c1	binder
IPATASERTIB	Prkg1	inhibitor
CAMOSTAT	Gm5771	inhibitor
DICLOFENAC EPOLAMINE	Ptgs2	inhibitor
CYC-116	Kdr	inhibitor
PRIMIDONE	Gabrp	positive_allosteric_modulator
CLEVIDIPINE	Cacna1s	blocker
GUANABENZ	Adra2a	agonist
CHEMBL189449	Mtnr1a	antagonist
TABIMORELIN	Ghsr	agonist
OPROZOMIB	Psmb11	inhibitor
PENTOXIFYLLINE	Tnf	antibody
CLADRIBINE	Ada	inhibitor
DEFACTINIB	Ptk2b	inhibitor
BELINOSTAT	Hdac7	inhibitor
TAK-733	Map2k1	inhibitor
CHEMBL317935	Kcnq5	activator
AMINOPTERIN	Dhfr	inhibitor
RAUWOLFIA SERPENTINA (CHEMBL3559672)	Adra1a	antagonist
PAZOPANIB	Flt1	inhibitor
CHEMBL1895774	Adora1	agonist
OMIPALISIB	Pik3cd	inhibitor
CHEMBL24458	Pparg	agonist
CHLORZOXAZONE	Kcnn4	activator
PHENAZOPYRIDINE HYDROCHLORIDE	Scn9a	blocker
BUPARLISIB	Pik3cb	inhibitor
GANETESPIB	Hsp90aa1	inhibitor
AVAGACESTAT	Psen1	inhibitor
CHEMBL2219824	Lss	inhibitor
SAPITINIB	Erbb3	inhibitor
CHEMBL1188853	Htr1a	agonist
DOVITINIB	Fgfr1	inhibitor
BUTABARBITAL SODIUM	Gabra5	positive_allosteric_modulator
DIPYRIDAMOLE	Pde6c	inhibitor
CHEMBL279453	Chrm2	antagonist
METHYPRYLON	Gabrb2	positive_allosteric_modulator
THIOTHIXENE HYDROCHLORIDE	Htr2a	antagonist
REGORAFENIB	Pdgfrb	inhibitor
PRIMIDONE	Gabra1	positive_allosteric_modulator
ADENOSINE	Adora3	agonist
LANICEMINE	Grin2d	blocker
TRAVOPROST	Ptgfr	agonist
SU-014813	Pdgfra	inhibitor
ETHOXZOLAMIDE	Car5a	inhibitor
AV-101	Grin2c	antagonist
CYCLOTHIAZIDE	Gria2	allosteric_modulator
AMANTADINE HYDROCHLORIDE	Grin2d	antagonist
CHLOPHEDIANOL	Hrh1	antagonist
GADOBENATE DIMEGLUMINE	Asic2	activator
AZD-5438	Cdk1	inhibitor
INSM-18	Igf1r	inhibitor
PROCATEROL	Adrb2	agonist
BORTEZOMIB	Psmc3	inhibitor
LORATADINE	Hrh1	antagonist
DACTOLISIB	Pik3r3	inhibitor
CHEMBL382739	S1pr1	agonist
CHEMBL1562779	Acaca	inhibitor
CABAZITAXEL	Tubb1	inhibitor
DACTOLISIB	Pik3cd	inhibitor
LOVASTATIN	Hmgcr	inhibitor
PF-04691502	Pik3ca	inhibitor
TREPROSTINIL	Ptger3	agonist
LEUPROLIDE	Gnrhr	agonist
PREGABALIN	Cacna1b	modulator
ELUBRIXIN	Cxcr2	antagonist
MORICIZINE HYDROCHLORIDE	Scn11a	blocker
CHEMBL97424	Drd2	agonist
GANIRELIX ACETATE	Gnrhr	antagonist
PHENYRAMIDOL HYDROCHLORIDE	P2ry6	antagonist
SONOLISIB	Pik3ca	inhibitor
TEDISAMIL	Kcnh8	blocker
NISOLDIPINE	Cacna1f	blocker
TOLAZOLINE	Adra2a	antagonist
POZANICLINE	Chrnb2	partial_agonist
TELATINIB	Flt4	inhibitor
ZSTK-474	Pik3cg	inhibitor
DASATINIB	Frk	inhibitor
ECULIZUMAB	Hc	inhibitor
CHEMBL219160	Adora2b	antagonist
VOXTALISIB	Pik3r5	inhibitor
SONOLISIB	Pik3cd	inhibitor
MOTESANIB	Kdr	inhibitor
GONADOTROPIN, CHORIONIC	Lhcgr	agonist
NERAMEXANE MESYLATE	Grin3a	antagonist
ASPARTIC ACID	Grin2c	agonist
BECAPLERMIN	Pdgfrb	agonist
DEXLOXIGLUMIDE	Cckar	antagonist
CINNAMIC ACID	Hcar2	agonist
QUETIAPINE	Htr2a	agonist;antagonist
PHENYLEPHRINE	Sphk1	inhibitor
METHAZOLAMIDE	Car4	inhibitor
DODECANOL	Tnk2	inhibitor
GANITUMAB	Igf1r	inhibitor
TIOTROPIUM (CHEMBL1900528)	Chrm2	antagonist
LEVONORDEFRIN	Adra2a	agonist
ZONISAMIDE	Car12	inhibitor
CHEMBL397209	Gabrr3	antagonist
CP-55940	Gpr55	agonist
CI-1040	Map2k1	inhibitor
SPIROXATRINE	Adra2b	antagonist
ILORASERTIB	Frk	inhibitor
CHEMBL441472	Trpv1	channel_blocker
Siponimod	S1pr1	agonist
ROFLUMILAST	Pde4d	inhibitor
PLINABULIN	Tuba3b	inhibitor
METYROSINE	Th	inhibitor
MUSCIMOL	Gabra4	agonist
TETRODOTOXIN	Scn5a	blocker
PIRINIXIC ACID	Ppara	agonist
CHEMBL3274309	Avpr2	agonist
DASATINIB	Fgr	inhibitor
OXYPHENCYCLIMINE HYDROCHLORIDE	Chrm3	antagonist
CHEMBL10332	Adra2a	antagonist
AVANAFIL	Pde5a	inhibitor
CHEMBL389348	C3ar1	antagonist
CHEMBL2338352	P2rx7	antagonist
ETHYNODIOL DIACETATE	Pgr	agonist
ATAGABALIN	Cacna2d4	modulator
NAVITOCLAX	Bcl2l2	inhibitor
REGORAFENIB	Pdgfrb	inhibitor
PBF-680	Adora1	antagonist
SILODOSIN	Adra1b	antagonist
CHEMBL126809	Mtnr1a	agonist
METHOHEXITAL SODIUM	Gabrb1	positive_allosteric_modulator
ALPELISIB	Pik3cg	inhibitor
ALMITRINE	Atp1a1	binder
TOZASERTIB	Aurkb	inhibitor
COLCHICINE	Tuba1a	inhibitor
ANCRIVIROC (CHEMBL2107311)	Ccr5	antagonist
CEBRANOPADOL	Oprl1	agonist
NINTEDANIB	Pdgfrb	inhibitor
BELINOSTAT	Hdac9	inhibitor
INSULIN GLARGINE	Insr	binder
MYRIOCIN	Sptlc2	inhibitor
CHEMBL407848	Pgr	antagonist
SGI-1776	Flt3	inhibitor
SEVOFLURANE	Gabrg2	positive_allosteric_modulator
ROPINIROLE HYDROCHLORIDE	Drd2	agonist
FILGOTINIB	Tyk2	inhibitor
ANAMORELIN HYDROCHLORIDE	Ghsr	agonist
METAPROTERENOL SULFATE	Adrb2	agonist
G1T28-1	Cdk4	inhibitor
SUNITINIB MALATE	Kdr	inhibitor
CIPROFIBRATE	Ppara	agonist
THIOTHIXENE	Htr2a	antagonist
JNJ-38877605	Met	inhibitor
CGS-15943	Adora2b	antagonist
PRAZOSIN	Adra2b	antagonist
VINCRISTINE SULFATE	Tubb4b	inhibitor
ESZOPICLONE	Gabrd	positive_allosteric_modulator
SUNITINIB MALATE	Kdr	inhibitor
ETHINYL ESTRADIOL	Esr1	agonist
PRALIDOXIME CHLORIDE	Ache	activator
DESLANOSIDE	Atp1a1	binder
