from	to	type
FLUPENTIXOL	DRD1	antagonist
TETRAHYDROFOLATE	FOLR1	binder
RELCOVAPTAN	AVPR1A	antagonist
CHEMBL217803	P2RY2	agonist
cA2	GJE1	inhibitor
VILAZODONE	DRD3	agonist
CHEMBL2096742	MC5R	agonist
CHEMBL414173	APLNR	agonist
CYCLOPENTOLATE	LPAR1	antagonist
CHEMBL1697690	DRD3	antagonist
ERGOLOID MESYLATES	ADRA2B	antagonist
ARECOLINE	CHRM1	agonist
FLUPENTIXOL	DRD3	antagonist
CHEMBL2023109	BRS3	agonist
ME-344	NDUFA7	inhibitor
LURASIDONE HYDROCHLORIDE	HTR2A	antagonist
PROPANTHELINE	CHRM3	antagonist
CHEMBL1234624	ADORA2A	agonist
INCB-9471	CCR5	antagonist
CHLOROQUINE	MRGPRX1	agonist
ENMD-2076	FLT1	inhibitor
CLOZAPINE	HTR1B	agonist
THEOPHYLLINE	ADORA2A	antagonist
LY2624803	HRH1	antagonist
SKF-38393	DRD5	agonist
CHEMBL410596	SSTR3	agonist
CABERGOLINE	HTR1A	agonist
THIORIDAZINE	HTR2A	antagonist
METHARBITAL	GABRG1	positive_allosteric_modulator
ERIBULIN MESYLATE	TUBB1	inhibitor
NEFAZODONE	HTR2A	antagonist
LIXIVAPTAN	AVPR2	antagonist
IMAGABALIN	CACNG1	modulator
RIBAVIRIN	IMPDH2	inhibitor
NEFAZODONE HYDROCHLORIDE	HTR2C	antagonist
DALFAMPRIDINE	KCNS2	blocker
GUANIDINE HYDROCHLORIDE	KCNA5	blocker
ZOTEPINE	HTR6	antagonist
QUINPIROLE	HTR2B	agonist
THIORIDAZINE	HTR1A	antagonist
BETAXOLOL	ADRB2	antagonist
CHEMBL1332062	HTR1D	agonist
LAMOTRIGINE	SCN10A	blocker
YOHIMBINE HYDROCHLORIDE	OXER1	agonist
AZD2207	CNR1	antagonist
CHEMBL597557	F9	inhibitor
CHEMBL1081913	GPR119	agonist
BVT.115959	ADORA2A	agonist
APOMORPHINE	HTR2A	antagonist
AMBRISENTAN	EDNRB	antagonist
DICYCLOMINE HYDROCHLORIDE	CHRM3	antagonist
DIPHENHYDRAMINE	HRH1	antagonist
CHEMBL480249	TACR3	antagonist
CABERGOLINE	HTR1B	agonist
CHEMBL33884	NAT1	antagonist
CGS-21680	ADORA2A	agonist
TEGASEROD	NAT1	agonist
AMODIAQUINE HYDROCHLORIDE	FPR2	agonist
VINCRISTINE SULFATE	TUBB1	inhibitor
RAUWOLFIA SERPENTINA (CHEMBL3559672)	ADRA2C	antagonist
TRIPELENNAMINE	HRH1	antagonist
CORTICOTROPIN	MC3R	agonist
EPINEPHRINE	ADRA2C	agonist
DIPHENHYDRAMINE CITRATE	HRH1	antagonist
Ladarixin	CXCR1	modulator
FOSMIDOMYCIN	C5AR1	agonist
RALOXIFENE	CNTFR	agonist
CHEMBL235658	GNRHR	allosteric_modulator;antagonist
CICLESONIDE	SERPINA6	binder
NABILONE	CNR1	agonist
CHEMBL326418	HTR1A	antagonist
CARBENOXOLONE	OSGIN2	inhibitor
CHEMBL522758	HCRTR1	antagonist
PHENYL BIGUANIDE	HTR3B	agonist
ANAMORELIN	GHSR	stimulator
ZAFIRLUKAST	CYSLTR2	antagonist
DIHYDROTETRABENAZINE	SLC18A2	inhibitor
CHEMBL1256682	CHRM5	antagonist
TREPROSTINIL	PTGER2	agonist
CHEMBL171632	SENP8	inhibitor
RILAPLADIB	PLA2G7	inhibitor
ATRASENTAN	EDNRB	antagonist
CHEMBL432038	GRM6	antagonist
DULOXETINE	SLC6A2	inhibitor
AT-9283	AURKA	inhibitor
TYRAMINE	TAAR1	agonist
CHEMBL309760	HTR2C	agonist
CHEMBL1210015	GLP1R	agonist
METRIFUDIL	ADORA2A	agonist
PARAMETHADIONE	FOXJ1	agonist
PIMOZIDE	HTR2A	antagonist
DYCLONINE HYDROCHLORIDE	SCN10A	blocker
IMMEPIP	HRH4	agonist
IMATINIB	ABL1	inhibitor
OPROZOMIB	PSMB8	inhibitor
CHEMBL351042	ACKR3	agonist
TICARCILLIN	TEK	inhibitor
METHYLENE BLUE	GALR2	agonist
TANESPIMYCIN	HSP90AB1	inhibitor
VASOPRESSIN	AVPR2	agonist
CHEMBL78535	CCR5	binder
LY2969822	GRM3	agonist
OBELIN	SSTR1	antagonist
PERGOLIDE MESYLATE	DRD1	agonist
TERGURIDE	ADRA2A	antagonist
GONADORELIN ACETATE	GNRHR	agonist
GALLAMINE TRIETHIODIDE	CHRND	antagonist
PERINDOPRILAT	ACE	inhibitor
THIORIDAZINE HYDROCHLORIDE	HTR2A	antagonist
GR-127935	HTR1F	agonist
HYDROCODONE	OPRD1	agonist
SACITUZUMAB GOVITECAN	TACSTD2	antibody
TYRAMINE	TAAR1	agonist
SCOPOLAMINE	CHRM4	antagonist
Fruquintinib	FLT1	inhibitor
MYCOPHENOLATE MOFETIL	IMPDH2	inhibitor
GADOBENATE DIMEGLUMINE	TRPM5	channel_blocker
ISOSORBIDE MONONITRATE	GUCY1A2	activator
BOSUTINIB	ABL1	inhibitor
CHEMBL1290251	FPR1	agonist
DALFAMPRIDINE	P2RY1	antagonist
SOTATERCEPT	INHBA	inhibitor
CHEMBL420060	SSTR2	agonist
ETONITAZENE	OPRD1	agonist
cA2	GJA8	inhibitor
TOZASERTIB	AURKA	inhibitor
BRIMONIDINE	ADRA2A	agonist
CHEMBL435402	P2RY1	agonist
TEDATIOXETINE	HTR3C	antagonist
CGS-15943	ADORA2A	antagonist
HESPERIDIN	GALR3	agonist
CYCLOSPORINE	ABCG2	inhibitor
SALMETEROL XINAFOATE	ADRB2	agonist
NV-128	NDUFS5	inhibitor
PLERIXAFOR	CCR4	antagonist
OLOPATADINE HYDROCHLORIDE	HRH1	antagonist
AFAMELANOTIDE	MC4R	agonist
ZICONOTIDE	CACNA1B	blocker
CHEMBL1797687	OPRD1	agonist
8-OH-DPAT	HTR2C	agonist
CHEMBL255306	P2RY1	antagonist
CHEMBL287367	HRH1	agonist
ALCURONIUM	CHRM4	allosteric_modulator
Fasinumab	NGFR	antagonist
ME-344	NDUFB3	inhibitor
SB-224289	HTR2B	antagonist
GALLAMINE TRIETHIODIDE	NMBR	antagonist
TIOTROPIUM (CHEMBL1900528)	CHRM3	antagonist
1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]	ADORA2A	antagonist
LEVOMILNACIPRAN HYDROCHLORIDE	NAT1	inhibitor
EDIVOXETINE	NAT1	inhibitor
CLEMASTINE	HRH1	antagonist
ZIPRASIDONE	HTR2C	antagonist
ALBUTEROL	ADRB2	agonist
TAK-901	AURKA	inhibitor
ROPINIROLE HYDROCHLORIDE	DRD3	agonist
SUMATRIPTAN	HTR1D	agonist
AMLODIPINE MALEATE	CACNA1S	blocker
ADOMEGLIVANT	GCGR	antagonist
RIZATRIPTAN	HTR1F	agonist
GEPIRONE	HTR1A	agonist
CHEMBL1188853	HTR2A	antagonist
UDP-GALACTOSE	GPR17	agonist
XL-228	ABL1	inhibitor
REPARIXIN	HCRTR1	antagonist
CLENOLIXIMAB	CD4	inhibitor
TASIMELTEON	MTNR1A	agonist
MELATONAN	MC3R	agonist
CHEMBL116590	KCNJ13	channel_blocker
CHLOROTRIANISENE	HCRTR1	antagonist
CHEMBL361355	HRH1	antagonist
DANUSERTIB	AURKA	inhibitor
FLUFENAMIC ACID	TRPM5	channel_blocker
DIOSCIN	CXCR3	antagonist
DALFAMPRIDINE	KCNV2	blocker
CYC-116	AURKA	inhibitor
OXTRIPHYLLINE	ADORA2A	antagonist
CEBRANOPADOL	OPRD1	agonist
DEXMEDETOMIDINE HYDROCHLORIDE	ADRA2B	agonist
ATROPINE SULFATE	CXCR3	agonist
CETRORELIX	GNRHR	antagonist
CHEMBL1562432	ADORA2A	antagonist
CHEMBL104784	P2RY1	antagonist
[3H]LSD	HTR2B	agonist
AMITRIPTYLINE	CHRM1	antagonist
CHENODIOL	FPR1	antagonist
CHEMBL389033	S1PR3	antagonist
ALPRAZOLAM	SSTR3	agonist
TRIHEXYPHENIDYL	CHRM1	antagonist
CHEMBL70099	AVPR2	antagonist
TIPROLISANT	HRH3	inverse_agonist
ETIRINOTECAN PEGOL	TOP1	inhibitor
VASOPRESSIN TANNATE	KDM6B	inhibitor
cA2	ART1	inhibitor
CHEMBL1161866	ADI1	binder
CHEMBL2052019	HCN2	channel_blocker
TERBUTALINE SULFATE	ADRB2	agonist
ABARELIX	GNRH1	inhibitor
BROMOCRIPTINE	HTR2B	antagonist
CHEMBL2096742	MC1R	agonist
DEXLANSOPRAZOLE	ATP4B	inhibitor
CHEMBL85606	DRD3	antagonist
CHEMBL3186179	HTR1F	agonist
MIANSERIN	HTR2A	antagonist
ALENDRONIC ACID	SSTR1	agonist
RISPERIDONE	HTR1B	antagonist
ANILINOPYRIMIDINE1	AURKA	inhibitor
BETHANECHOL CHLORIDE	CHRM3	agonist
THIOPENTAL SODIUM	GABRQ	positive_allosteric_modulator
LOPERAMIDE	OPRD1	binder
ELZASONAN HYDROCHLORIDE	HTR1B	antagonist
SUBSTANCE P	TACR2	agonist
ROXITHROMYCIN	MLNR	agonist
SUMATRIPTAN	HTR1A	agonist
NINTEDANIB	FLT1	inhibitor
CHEMBL435278	NPY2R	agonist
MOTOLIMOD	TLR8	agonist
ZOTEPINE	ADRA2B	antagonist
CYC-116	AURKA	inhibitor
IRINOTECAN HYDROCHLORIDE HYDRATE	TOP1	inhibitor
CHEMBL362051	ADRA2B	antagonist
TIOSPIRONE	HTR2C	antagonist
ISPINESIB (CHEMBL228814)	KIF11	inhibitor
DROXIDOPA	ADRA2A	agonist
QAV680	PTGDR2	antagonist
CHEMBL1951032	GPR119	agonist
RESIQUIMOD	TLR8	agonist
CHEMBL46071	HTR6	antagonist
CLONAZEPAM	GABRG1	positive_allosteric_modulator
DOCETAXEL HYDRATE	TUBA3E	inhibitor
ESTROGENS, CONJUGATED SYNTHETIC A	ESR1	agonist
NV-128	NDUFA8	inhibitor
HALOPERIDOL	DRD1	antagonist
ATAGABALIN	CACNA1B	modulator
WIN-552122	CNR1	agonist
MERETHOXYLLINE PROCAINE	SCN10A	blocker
FROVATRIPTAN SUCCINATE	HTR1B	agonist
FLUFENAMIC ACID	PANX1	inhibitor
CHEMBL2052019	HCN4	channel_blocker
PIBOSEROD	NAT1	antagonist
URIDINE DIPHOSPHATE GLUCOSE	GPR17	agonist
BELATACEPT	CD28	inhibitor
NV-128	NDUFB3	inhibitor
CHEMBL3093100	GPR119	agonist
CHEMBL27885	CTSG	inhibitor
BRIMONIDINE	ADRA2A	agonist
CHEMBL472222	C1QB	inhibitor
CILNIDIPINE	CACNA1B	blocker
ILORASERTIB	AURKA	inhibitor
GSK-690693	PAK5	inhibitor
GR-127935	HTR6	agonist
EMIXUSTAT HYDROCHLORIDE	RPE65	inhibitor
CHLOROTRIANISENE	ESR1	binder
LIXISENATIDE	GLP1R	agonist
AZ-9773	TNF	inhibitor
ATOPAXAR	F2R	antagonist
FARLETUZUMAB	FOLR1	inhibitor
GADOBENATE DIMEGLUMINE	KCNJ4	gating_inhibitor
MILNACIPRAN HYDROCHLORIDE	NAT1	inhibitor
DROXIDOPA	ADRB1	agonist
CHEMBL1332062	HTR1F	agonist
LISURIDE	ADRA2B	antagonist
LENALIDOMIDE	TNF	inhibitor
GLEMANSERIN	HTR2B	antagonist
TAPENTADOL	SLC6A2	inhibitor
PRATOSARTAN	SLC22A12	inhibitor
CHEMBL237236	MTNR1A	agonist
MEPROBAMATE	GABRQ	agonist
ETHOPROPAZINE	CHRM1	antagonist
DOXYCYCLINE CALCIUM	MMP1	inhibitor
REPARIXIN	CXCR2	antagonist
CHEMBL1628667	CHRM5	antagonist
BOSENTAN	EDNRB	antagonist
ALISKIREN FUMARATE	REN	inhibitor
SPINORPHIN	FPR1	antagonist
Asapiprant	PTGDR	antagonist
T-BUTYLBICYCLOPHOSPHOROTHIONATE	GABRQ	channel_blocker
ELETRIPTAN HYDROBROMIDE	HTR1B	agonist
CORTICOTROPIN	OPRD1	agonist
DNK333	TACR2	antagonist
TETRABENAZINE	SLC18A2	inhibitor
DIPRAGLURANT	GRM5	modulator
LOXAPINE SUCCINATE	DRD3	antagonist
AMITRIPTYLINE	CHRM5	antagonist
MERCAPTOPURINE	AVPR1A	antagonist
AMG-900	AURKA	inhibitor
GOSERELIN	GNRH1	activator
FANANSERIN	HTR2A	antagonist
ALENDRONIC ACID	SSTR5	agonist
COLCHICINE	TUBB	inhibitor
SAREDUTANT	TACR2	antagonist
GABAPENTIN	CACNA1B	modulator
CHLORPROMAZINE	TRPC5	channel_blocker
METITEPINE	HTR1F	antagonist
MELATONAN	MC4R	agonist
OXYMORPHONE HYDROCHLORIDE	OPRD1	agonist
CHEMBL382739	S1PR4	agonist
CHEMBL509819	F2RL1	agonist
RISPERIDONE	DRD3	antagonist
CHEMBL1321988	P2RY6	antagonist
CHEMBL264421	PTGDR2	agonist
BATEFENTEROL	ADRB2	agonist
PIRBUTEROL	DLX3	agonist
CHEMBL67158	CCR4	agonist
VORAPAXAR SULFATE	F2R	antagonist
METITEPINE	HTR6	antagonist
RITANSERIN	HTR1B	antagonist
MK-0893	ADCYAP1R1	antagonist
POBILUKAST	CYSLTR2	antagonist
PARDOPRUNOX	HTR1A	agonist
CHEMBL1233797	P2RY1	agonist
LINSITINIB	INSRR	inhibitor
2-METHOXYESTRADIOL	TUBB1	binder
ALENDRONIC ACID	SSTR2	agonist
FOSBRETABULIN DISODIUM	TUBB	inhibitor
CHEMBL13668	DRD1	antagonist
CHEMBL134519	HTR2B	agonist
CHEMBL425190	HTR1D	antagonist
TIAPRIDE	SCN10A	inhibitor
CHEMBL230963	HTR1A	agonist
PRIMAQUINE PHOSPHATE	GALR2	agonist
SETMELANOTIDE	MC4R	agonist
TEDISAMIL	KCNG3	blocker
TEDISAMIL	KCNA2	blocker
GSK-690693	PRKCQ	inhibitor
LISURIDE	HTR2A	agonist
FLINDOKALNER	KCNQ5	activator
BUMETANIDE	GPR35	agonist
CARBINOXAMINE MALEATE	HRH1	antagonist
K-252A	AVPR1A	antagonist
PASIREOTIDE PAMOATE	SSTR3	agonist
cA2	GJA4	inhibitor
PROPOXYCAINE HYDROCHLORIDE	SCN10A	blocker
ADENOSINE	PI4K2A	inhibitor
REVATROPATE	CHRM1	antagonist
VICRIVIROC	CCR5	antagonist
PIRIBEDIL (CHEMBL1371770)	HTR2B	antagonist
BETAXOLOL HYDROCHLORIDE	ADRB1	antagonist
RU-24969	HTR1A	agonist
DRONEDARONE	KCNA5	inhibitor
Fasinumab	NGF	inhibitor
NV-128	MT-ND4L	inhibitor
CHEMBL1788358	MTNR1A	agonist
DRONEDARONE HYDROCHLORIDE	KCNJ2	blocker
APOMORPHINE HYDROCHLORIDE	DRD3	agonist
LOXAPINE	HTR2A	antagonist
COENZYME_A	CHRM5	antagonist
MOZAVAPTAN	AVPR2	antagonist
PALOSURAN	UTS2R	antagonist
ATOMOXETINE HYDROCHLORIDE	NAT1	inhibitor
ALBUTEROL	SSTR5	agonist
MK-7246	PTGDR2	antagonist
DALFAMPRIDINE	KCNH4	blocker
LORATADINE	HRH1	antagonist
CHEMBL405908	NMBR	antagonist
QUERCETIN	PRKCQ	inhibitor
DINOPROSTONE	PTGER1	agonist
NALORPHINE	OPRD1	agonist
DESVENLAFAXINE	NAT1	inhibitor
NRX-1074	GRIN2D	partial_agonist
CARFILZOMIB	PSMB7	inhibitor
BRL-15,572	HTR6	agonist
GLYCINE	GPRC6A	agonist
ODELEPRAN	OPRD1	antagonist
OXYTOCIN	AVPR2	agonist
ANANDAMIDE	GPR55	agonist
LOXAPINE HYDROCHLORIDE	HTR2C	antagonist
BEPOTASTINE BESYLATE	HRH1	antagonist
SURINABANT	CNR1	antagonist
CHEMBL316069	HTR2A	antagonist
FG-3019	CTGF	inhibitor
CAPTOPRIL	ACE	inhibitor
CEVIMELINE HYDROCHLORIDE	CHRM3	agonist
CHEMBL2311186	OPRD1	agonist
CHEMBL309566	ADORA2A	antagonist
SERTINDOLE	HCRTR1	antagonist
REGORAFENIB	FLT1	inhibitor
CARBENOXOLONE	GJE1	inhibitor
ALCAFTADINE	HRH1	antagonist
SR16234 (CHEMBL3545210)	ESR1	antagonist
PROMAZINE	CHRM5	binder
BRIAKINUMAB	IL23A	inhibitor
GLYCOPYRROLATE	CHRM4	antagonist
DIAZEPAM	GABRQ	positive_allosteric_modulator
CHEMBL362051	ADRA2A	antagonist
METFORMIN HYDROCHLORIDE	MT-ND4L	inhibitor
CLEVIDIPINE	CACNA1S	blocker
GUANABENZ	ADRA2A	agonist
SERTINDOLE	HTR1E	antagonist
CHEMBL189449	MTNR1A	antagonist
TABIMORELIN	GHSR	agonist
OPROZOMIB	PSMB11	inhibitor
PENTOXIFYLLINE	TNF	antibody
CHEMBL317935	KCNQ5	activator
PAZOPANIB	FLT1	inhibitor
CHEMBL1188853	HTR1A	agonist
THIOTHIXENE HYDROCHLORIDE	HTR2A	antagonist
LANICEMINE	GRIN2D	blocker
AMANTADINE HYDROCHLORIDE	GRIN2D	antagonist
CHLOPHEDIANOL	HRH1	antagonist
CHEMBL7318	HTR1D	antagonist
PROCATEROL	ADRB2	agonist
LORATADINE	HRH1	antagonist
CABAZITAXEL	TUBB1	inhibitor
LEUPROLIDE	GNRHR	agonist
PREGABALIN	CACNA1B	modulator
ELUBRIXIN	CXCR2	antagonist
GANIRELIX ACETATE	GNRHR	antagonist
PHENYRAMIDOL HYDROCHLORIDE	P2RY6	antagonist
TOLAZOLINE	ADRA2A	antagonist
DASATINIB	FRK	inhibitor
DEXLOXIGLUMIDE	CCKAR	antagonist
CINNAMIC ACID	HCAR2	agonist
QUETIAPINE	HTR2A	agonist;antagonist
LEVONORDEFRIN	ADRA2A	agonist
CP-55940	GPR55	agonist
SPIROXATRINE	ADRA2B	antagonist
ILORASERTIB	FRK	inhibitor
CHEMBL3274309	AVPR2	agonist
OXYPHENCYCLIMINE HYDROCHLORIDE	CHRM3	antagonist
CHEMBL10332	ADRA2A	antagonist
CHEMBL389348	C3AR1	antagonist
NITRIC OXIDE	GUCY1B3	activator
NAVITOCLAX	BCL2L2	inhibitor
CHEMBL126809	MTNR1A	agonist
ANCRIVIROC (CHEMBL2107311)	CCR5	antagonist
CEBRANOPADOL	OPRL1	agonist
ANAMORELIN HYDROCHLORIDE	GHSR	agonist
METAPROTERENOL SULFATE	ADRB2	agonist
THIOTHIXENE	HTR2A	antagonist
PRAZOSIN	ADRA2B	antagonist
ETHINYL ESTRADIOL	ESR1	agonist
DIPHENHYDRAMINE HYDROCHLORIDE	HRH1	antagonist
OC000459	PTGDR2	antagonist
ATENOLOL	ADRB1	antagonist
TRETINOIN	PPARD	agonist
PF-04531083	SCN10A	blocker
ICRUCUMAB	FLT1	antagonist
AZILSARTAN MEDOXOMIL	AGTR2	antagonist
SABCOMELINE	CHRM5	agonist
IPH-2101	KIR2DL3	inhibitor
ME-344	NDUFS5	inhibitor
TEDISAMIL	KCNC3	blocker
ALMOTRIPTAN MALATE	HTR1B	agonist
CHEMBL418353	GPR18	agonist
TRIPELENNAMINE HYDROCHLORIDE	HRH1	antagonist
CIPRALISANT MALEATE	HRH3	agonist
CHEMBL1802025	MTNR1A	agonist
HALOPERIDOL DECANOATE	HTR2A	antagonist
IPRATROPIUM	CHRM5	antagonist
GYKI-52466	GRIA1	antagonist
CHEMBL1946618	OPRD1	agonist
ORPHENADRINE CITRATE	NAT1	inhibitor
SOTRASTAURIN ACETATE	PRKCQ	inhibitor
CHEMBL421362	SSTR2	agonist
CHEMBL1199729	P2RY6	agonist
NIROGACESTAT	PSENEN	inhibitor
TIOSPIRONE	HTR1A	antagonist
CORTICOTROPIN	MC2R	agonist
LY404039	GRM3	agonist
ARECAIDINE PROPARGYL ESTER	CHRM1	agonist
RU-24969	HTR6	agonist
NAFADOTRIDE	HTR1A	agonist
CHEMBL1097939	GRIA1	allosteric_modulator
Ladarixin	CXCR2	modulator
SOLIFENACIN	CHRM3	antagonist
ALISERTIB	AURKA	inhibitor
DICYCLOMINE	CHRM1	antagonist
SU-14813	FLT1	inhibitor
AXITINIB	PDGFB	inhibitor
FENOLDOPAM MESYLATE	DRD1	agonist
RETASPIMYCIN	HSP90AB1	inhibitor
CLOXYPENDYL	P2RY2	agonist
ASENAPINE (CHEMBL3187365)	HTR1A	agonist
CHEMBL140184	DRD3	antagonist
VALBENAZINE	SLC18A2	inhibitor
OTENZEPAD	CHRM1	antagonist
ETHOTOIN	SCN10A	blocker
PF-05212377	HTR6	antagonist
CORTISTATIN-14	SSTR3	agonist
PYROPHOSPHORIC ACID	FPR1	agonist
CHEMBL1885579	AGTR2	agonist
PEMIROLAST	HRH1	antagonist
CEP-11981	NTRK2	inhibitor
CHEMBL598952	MLNR	agonist
ALDOSTERONE	SSTR2	agonist
Capeserod	HTR1A	agonist
cA2	OSGIN2	inhibitor
ERGOLOID MESYLATES	DRD3	agonist
PACLITAXEL	TUBA3E	inhibitor
OCTANOL	GJB6	inhibitor
8-OH-DPAT	HTR2B	agonist
SERACTIDE ACETATE	MC2R	agonist
TRIDIHEXETHYL CHLORIDE	CHRM3	antagonist
RALFINAMIDE	SCN10A	blocker
CHEMBL444125	C5AR1	antagonist
LY2940094	OPRL1	antagonist
ME-344	MT-ND3	inhibitor
NEPADUTANT	TACR2	antagonist
IXEKIZUMAB	IL17A	inhibitor
TETRABROMOBENZOTRIAZOLE	OPRL1	antagonist
QUININE	KCNB2	channel_blocker
CHEMBL3105228	CHRM5	allosteric_modulator
TABALUMAB	TNFSF13B	inhibitor
DESLANOSIDE	ATP1B2	inhibitor
FROVATRIPTAN	HTR1B	agonist
CHEMBL506999	HTR2A	agonist
IPSAPIRONE	HTR1A	agonist
REL-PENTAZOCINE	OPRD1	agonist
PROCHLORPERAZINE	DRD1	antagonist
CHEMBL27508	ADORA2A	antagonist
RILAPLADIB	PLA2G7	inhibitor
ZIPRASIDONE	HTR1A	agonist
OXPRENOLOL HYDROCHLORIDE	ADRB2	antagonist
TERFENADINE	HRH1	antagonist
QUINESTROL	ESR1	agonist
NALTREXONE	OPRD1	antagonist
ILOPERIDONE	HTR2A	antagonist
ARIPIPRAZOLE	HTR2A	antagonist
DARIFENACIN	CHRM3	antagonist
DOBUTAMINE HYDROCHLORIDE	ADRB2	agonist
SERTINDOLE	HRH1	antagonist
CHEMBL3186179	HTR2C	agonist
PILOCARPINE HYDROCHLORIDE	P2RY14	agonist
CHLORPROMAZINE HYDROCHLORIDE	HTR2A	antagonist
REGORAFENIB	KRAS	inhibitor
PRO-140	CCR5	antagonist
LYPRESSIN	AVPR1A	agonist
CHEMBL1255588	DRD5	antagonist
NIFLUMIC ACID	CLCNKB	activator
LY-293284	HTR1A	agonist
PHENYTOIN SODIUM	SCN10A	blocker
PJ34 (CHEMBL372303)	ACVR1C	agonist
CLOMIPHENE	ESR1	antagonist
PENTOXIFYLLINE	PDE8B	inhibitor
TAPRENEPAG	PTGER2	agonist
CHEMBL34453	GRM6	agonist
BRENTUXIMAB VEDOTIN	TUBB	inhibitor
IDALOPIRDINE	HTR6	antagonist
NORADRENALINE	DRD5	agonist
NAPHAZOLINE HYDROCHLORIDE	ADRA2C	agonist
EPLIVANSERIN FUMARATE	HTR2A	binder
GALANIN	GALR3	agonist
MEDRYSONE	P2RY2	agonist
TRYPTAMINE	HTR1F	agonist
ESMIRTAZAPINE MALEATE	HRH1	antagonist
PIMOZIDE	HTR2A	antagonist
ALEFACEPT	CD2	antagonist
AZD4818	CCR1	antagonist
CHEMBL17639	NPY4R	agonist
GLYCERIN	CCR5	agonist
BRETYLIUM TOSYLATE	GALR3	agonist
ZIPRASIDONE	HTR1D	agonist
ATAGABALIN	CACNG3	modulator
GAMMA-AMINOBUTYRIC ACID	HTR1B	agonist
BETHANECHOL	CHRM4	agonist
AZELASTINE	HRH1	antagonist
Siponimod	S1PR5	agonist
CHEMBL1086968	PREP	inhibitor
TRIFLUOPERAZINE	HTR2A	antagonist
COENZYME_A	CHRM1	antagonist
FLUPERLAPINE	HTR6	antagonist
FLUFENAMIC ACID	GJA8	inhibitor
PROPYLENE GLYCOL	FPR2	antagonist
CHEMBL75772	ADORA2A	antagonist
REPINOTAN	HTR1A	antagonist
BUFOTENINE	HTR1D	antagonist
PROMAZINE HYDROCHLORIDE	HTR2A	antagonist
CHEMBL523685	CHRM1	allosteric_modulator
HYDROXYAMPHETAMINE HYDROBROMIDE	ADRA2C	agonist
CHEMBL370606	PTGDR2	agonist
CHEMBL1269257	CCKAR	agonist
CRIZOTINIB	ROS1	inhibitor
RALFINAMIDE	CACNA1B	blocker
NIFLUMIC ACID	CLCNKA	activator;channel_blocker
DRONEDARONE HYDROCHLORIDE	HCN4	blocker
NIACIN	DRD5	agonist
VADIMEZAN	TNF	inducer
REGN-421	DLL4	antibody
AMOXAPINE	NAT1	inhibitor
VABICASERIN HYDROCHLORIDE	HTR2A	antagonist
ACETOHYDROXAMIC ACID	RXFP4	agonist
MIRTAZAPINE	HTR2A	antagonist
MAVRILIMUMAB	CD8B	antibody
LEVOCETIRIZINE DIHYDROCHLORIDE	HRH1	antagonist
URIDINE DIPHOSPHATE GLUCOSE	MMP13	inhibitor
FLUFENAMIC ACID	TRPC5	channel_blocker
cA2	GJA1	inhibitor
CHEMBL175643	GRM1	allosteric_modulator
ESMOLOL	OPRD1	antagonist
ATAGABALIN	CACNA1S	modulator
DIPHENYLPYRALINE	HRH1	antagonist
REBIMASTAT	MMP1	inhibitor
MESULERGINE	HTR2C	antagonist
Capeserod	HTR2B	agonist
CLONIDINE	ADRA2A	agonist
ROTIGOTINE	DRD3	agonist
SUFUGOLIX	GNRHR	antagonist
CHEMBL285755	DRD3	agonist
Chiauranib	FLT1	inhibitor
VINFLUNINE	TUBB	inhibitor
ESTRADIOL CYPIONATE	ESR1	agonist
DESOXIMETASONE	PLA2G1B	inhibitor
ISOPROTERENOL HYDROCHLORIDE	ADRB2	agonist
RELAXIN	RXFP3	agonist
CHEMBL3272682	AVPR2	agonist
MK-212	HTR2C	agonist
GSK163090	HTR1D	antagonist
DIENESTROL	ESR1	agonist
DONITRIPTAN	HTR6	agonist
ANRUKINZUMAB	IL13	inhibitor
FENOPROFEN	SLC5A8	inhibitor
TRANILAST	HRH1	antagonist
MGCD-265	FLT1	inhibitor
ALTIRATINIB	NTRK2	inhibitor
AMESERGIDE	HTR2A	antagonist
Fruquintinib	FLT1	inhibitor
OCTREOTIDE	SSTR3	agonist
BEFIRADOL	HTR1A	agonist
MOTESANIB	FLT1	inhibitor
METERGOLINE	HTR1E	antagonist
MESULERGINE	HTR6	antagonist
DACLIZUMAB	IL2RG	inhibitor
METHDILAZINE	HRH1	antagonist
NERISPIRDINE	KCNA10	blocker
CHEMBL570352	S1PR3	agonist
TRX-1	CD4	inhibitor
PREGABALIN	CACNG3	modulator
DIETHYLSTILBESTROL	ESR1	agonist
GLYBURIDE	KCNJ5	blocker
TIRATRICOL	FFAR2	allosteric_modulator
NERISPIRDINE	KCNG3	blocker
CHEMBL1161480	GRPR	agonist
(7S)-HYDROXYL-STAUROSPORINE	PRKCQ	inhibitor
NALBUPHINE	F2RL1	agonist
CGS-27023A	MMP9	inhibitor
CHEMBL33567	GRM6	agonist
BUTANOIC ACID	FFAR2	agonist
CHEMBL29027	HTR1A	antagonist
AMYLIN	RAMP3	agonist
FORETINIB	FLT1	inhibitor
IMIPRAMINE	SLC6A2	inhibitor
ACRIVASTINE	HRH1	antagonist
FOSCARNET SODIUM	CYSLTR2	antagonist
ICOMUCRET	LTB4R2	agonist
FEZAKINUMAB	IL22	inhibitor
