name	id	type	tf	target	essential	developmental	mouse.ortholog	tumor.suppressor	proapoptotic	blood_cancer	breast_cancer	colorectal_cancer	gastric_cancer	liver_cancer	lung_cancer	nervous_system_cancer	pancreatic_cancer	prostate_cancer	sarcoma	skin_cancer
TMEM128	ENSG00000132406	protein_coding	F	F	F	F	Tmem128	F	F	T	F	F	F	F	F	F	F	F	F	F
FIGNL1	ENSG00000132436	protein_coding	F	F	F	F	Fignl1	F	F	T	F	F	F	F	F	F	F	F	F	F
FTHL17	ENSG00000132446	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
ENAM	ENSG00000132464	protein_coding	F	F	F	T	Enam	F	F	F	F	F	F	F	F	F	F	F	F	F
JCHAIN	ENSG00000132465	protein_coding	F	T	F	F	Jchain	F	F	F	F	F	F	F	F	F	F	F	F	F
UTP3	ENSG00000132467	protein_coding	F	F	T	T	Utp3	F	F	F	F	F	F	F	F	F	F	F	F	F
KDM6B	ENSG00000132510	protein_coding	F	F	F	F	Kdm6b	F	F	F	F	F	F	F	F	F	F	F	F	F
NIP7	ENSG00000132603	protein_coding	F	T	T	F	Nip7	F	F	F	F	T	T	F	F	F	F	F	F	F
MTSS1L	ENSG00000132613	protein_coding	F	F	F	F		F	F	T	F	T	F	F	F	T	F	F	F	F
HSPA12B	ENSG00000132622	protein_coding	F	F	F	F	Hspa12b	F	F	F	F	T	F	F	F	F	F	F	F	F
ANKEF1	ENSG00000132623	protein_coding	F	F	F	F	Ankef1	F	F	F	F	F	F	F	F	T	F	F	F	F
SCP2D1	ENSG00000132631	protein_coding	F	F	F	F	Scp2d1	F	F	F	F	F	F	F	F	F	F	F	F	F
PCNA	ENSG00000132646	protein_coding	F	T	T	T	Pcna	F	F	T	F	F	F	F	F	F	F	F	F	F
NXT1	ENSG00000132661	protein_coding	F	F	T	F	Nxt1	F	F	F	F	F	F	F	F	F	F	F	F	F
RIN2	ENSG00000132669	protein_coding	F	F	F	F	Rin2	F	F	T	F	T	F	F	F	F	F	F	F	F
PTPRA	ENSG00000132670	protein_coding	F	F	F	T	Ptpra	F	F	T	T	F	T	T	F	F	F	F	F	F
SSTR4	ENSG00000132671	protein_coding	F	F	F	F	Sstr4	F	F	F	F	F	F	T	F	F	F	F	F	F
NES	ENSG00000132688	protein_coding	F	T	F	T	Nes	F	F	F	F	F	F	F	F	F	F	F	F	F
APCS	ENSG00000132703	protein_coding	F	F	F	F	Apcs	F	F	F	F	F	F	F	F	F	F	F	F	F
FCRL2	ENSG00000132704	protein_coding	F	F	F	F	Fcrls	F	F	F	F	F	F	F	F	F	F	F	F	F
SYT11	ENSG00000132718	protein_coding	F	F	F	F	Syt11	F	F	F	F	T	F	F	F	F	F	F	F	F
ACY3	ENSG00000132744	protein_coding	F	F	F	F	Acy3	F	F	F	F	F	F	F	F	F	F	F	F	F
ZSWIM3	ENSG00000132801	protein_coding	F	F	F	F	Zswim3	F	F	F	F	F	F	F	F	F	F	F	F	F
VSTM2L	ENSG00000132821	protein_coding	F	F	F	F	Vstm2l	F	F	F	F	T	F	F	F	F	F	F	F	F
OSER1	ENSG00000132823	protein_coding	F	F	F	F	Oser1	F	F	F	F	F	F	T	F	F	F	F	F	F
PPP1R3D	ENSG00000132825	protein_coding	F	F	F	F	Ppp1r3d	F	F	F	F	F	F	F	F	F	F	F	F	F
KANK4	ENSG00000132854	protein_coding	F	F	F	F	Kank4	F	F	F	T	F	F	F	F	F	F	F	F	F
SYT4	ENSG00000132872	protein_coding	F	F	F	F	Syt4	F	F	F	F	F	F	F	F	F	F	F	F	F
FBXO44	ENSG00000132879	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
RSG1	ENSG00000132881	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
ZMYM5	ENSG00000132950	protein_coding	F	T	F	F	Zmym5	F	F	T	F	T	F	F	F	T	F	F	F	F
USPL1	ENSG00000132952	protein_coding	F	T	T	F	Uspl1	F	F	T	F	F	F	F	F	F	F	F	F	F
POMP	ENSG00000132963	protein_coding	F	F	T	F	Pomp	F	F	F	F	F	F	T	F	F	F	F	F	F
GPR12	ENSG00000132975	protein_coding	F	F	F	F	Gpr12	F	F	F	F	F	F	F	F	F	F	F	F	F
CHRM3	ENSG00000133019	protein_coding	F	F	F	T	Chrm3	F	F	F	F	F	F	F	F	T	F	F	F	F
MYH8	ENSG00000133020	protein_coding	F	F	F	F	Myh8	F	F	F	F	F	F	F	F	F	F	F	F	F
CHI3L1	ENSG00000133048	protein_coding	F	T	F	F	Chil1	F	F	F	F	F	F	F	F	F	F	F	F	F
MYBPH	ENSG00000133055	protein_coding	F	F	F	F	Mybph	F	F	F	F	F	F	F	F	F	F	F	F	F
DSTYK	ENSG00000133059	protein_coding	F	F	F	F	Dstyk	F	F	T	F	F	F	F	F	F	F	F	F	F
CCNA1	ENSG00000133101	protein_coding	F	T	F	F	Ccna1	F	F	F	F	F	F	F	F	F	F	F	F	F
RXFP2	ENSG00000133105	protein_coding	F	T	F	T	Rxfp2	F	F	T	F	F	F	F	F	F	F	F	F	F
STOML3	ENSG00000133115	protein_coding	F	F	F	F	Stoml3	F	F	F	F	F	F	F	F	F	F	F	F	F
KL	ENSG00000133116	protein_coding	F	F	F	F	Kl	T	F	F	F	F	F	F	F	F	F	F	F	F
RFC3	ENSG00000133119	protein_coding	F	T	T	F	Rfc3	F	F	F	F	F	F	F	F	F	F	F	F	F
IRS4	ENSG00000133124	protein_coding	F	F	F	F	Irs4	F	F	F	F	F	F	F	F	F	F	F	F	F
BEX2	ENSG00000133134	protein_coding	F	T	F	F	Bex1	T	F	F	F	F	F	F	F	F	F	F	F	F
RNF128	ENSG00000133135	protein_coding	F	T	F	F	Rnf128	F	F	F	F	T	F	T	F	F	F	F	F	F
BEX1	ENSG00000133169	protein_coding	F	F	F	T	Bex1	F	F	F	F	F	F	F	F	F	F	F	F	F
PRAM1	ENSG00000133246	protein_coding	F	F	F	F	Pram1	F	F	T	F	T	F	F	F	F	F	F	F	F
HSPBP1	ENSG00000133265	protein_coding	F	F	F	F	Hspbp1	F	F	T	F	F	F	F	F	F	F	F	F	F
LGALS12	ENSG00000133317	protein_coding	F	F	F	F	Lgals12	F	F	F	F	F	F	F	F	F	F	F	F	F
RARRES3	ENSG00000133321	protein_coding	F	F	F	F		T	F	F	F	F	F	F	F	F	F	F	F	F
HRASLS2	ENSG00000133328	protein_coding	F	F	F	F		T	F	F	F	F	F	F	F	F	F	F	F	F
GSTT2B	ENSG00000133433	protein_coding	F	T	F	F	Gstt2	F	F	F	F	F	F	F	F	F	F	F	F	F
GGT2	ENSG00000133475	protein_coding	F	F	F	F	Ggt1	F	F	F	F	F	F	F	F	F	F	F	F	F
GIMAP6	ENSG00000133561	protein_coding	F	F	F	F	Gimap6	F	F	F	F	F	F	F	F	F	F	F	F	F
SFTPD	ENSG00000133661	protein_coding	F	T	F	T	Sftpd	F	F	F	F	F	F	F	F	F	F	F	F	F
DYDC2	ENSG00000133665	protein_coding	F	F	T	F	Dydc2	F	F	F	F	T	F	F	F	F	F	F	F	F
TMEM254	ENSG00000133678	protein_coding	F	F	F	F	Tmem254b	F	F	F	F	F	F	F	F	F	F	F	F	F
KRAS	ENSG00000133703	protein_coding	F	T	F	T	Kras	F	F	T	F	T	T	T	F	F	T	F	F	F
RNF122	ENSG00000133874	protein_coding	F	F	F	F	Rnf122	F	F	F	F	F	F	F	F	F	F	F	F	F
DUSP26	ENSG00000133878	protein_coding	F	F	F	F	Dusp26	T	F	F	F	F	F	F	F	F	F	F	F	F
ERG28	ENSG00000133935	protein_coding	F	F	F	F	Erg28	F	F	F	F	F	F	F	F	F	F	F	F	F
GSC	ENSG00000133937	protein_coding	T	F	F	T	Gsc	F	F	F	F	F	F	F	F	F	F	F	F	F
VRTN	ENSG00000133980	protein_coding	F	F	F	F	Vrtn	F	F	F	F	F	F	F	F	F	F	F	F	F
TTC9	ENSG00000133985	protein_coding	F	F	F	F	Ttc9	F	F	T	F	F	F	F	F	F	F	F	F	F
ADAM20	ENSG00000134007	protein_coding	F	F	F	F	Adam39	F	F	F	F	F	F	F	F	F	F	F	F	F
IER3IP1	ENSG00000134049	protein_coding	F	F	T	F	Ier3ip1	F	F	F	F	F	F	F	F	F	F	F	F	F
IRAK2	ENSG00000134070	protein_coding	F	F	F	F	Irak2	F	F	T	F	F	F	T	F	F	F	F	F	F
GNAT2	ENSG00000134183	protein_coding	F	F	F	T	Gnat2	F	F	F	F	T	F	F	F	F	F	F	F	F
REG4	ENSG00000134193	protein_coding	F	T	F	F	Reg4	F	F	F	F	F	F	F	F	F	F	F	F	F
TSHB	ENSG00000134200	protein_coding	F	T	F	F	Tshb	F	F	F	F	F	F	F	F	F	F	F	F	F
SYT6	ENSG00000134207	protein_coding	F	F	F	F	Syt6	F	F	F	F	F	F	F	F	F	F	F	F	F
ADAM30	ENSG00000134249	protein_coding	F	F	F	F	Adam30	F	F	F	F	T	F	F	F	F	F	F	F	F
TRIM45	ENSG00000134253	protein_coding	F	T	F	F	Trim45	F	F	F	F	F	F	F	F	F	F	F	F	F
CEPT1	ENSG00000134255	protein_coding	F	F	T	F	Cept1	F	F	T	T	T	F	T	F	F	T	F	F	F
NGF	ENSG00000134259	protein_coding	F	T	F	T	Ngf	F	F	F	F	F	F	F	F	F	F	F	F	F
TMEM106C	ENSG00000134291	protein_coding	F	F	F	F	Tmem106c	F	F	F	F	T	F	F	F	F	F	F	F	F
GRHL1	ENSG00000134317	protein_coding	F	T	F	T	Grhl1	F	F	F	F	F	F	F	F	F	F	F	F	F
MYCN	ENSG00000134323	protein_coding	T	T	F	F	Mycs	F	F	F	F	F	F	F	F	T	F	F	F	F
SAA2	ENSG00000134339	protein_coding	F	T	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
CFHR5	ENSG00000134389	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
GRP	ENSG00000134443	protein_coding	F	F	F	F	Grp	F	F	F	F	F	F	F	F	F	F	F	F	F
CCNH	ENSG00000134480	protein_coding	F	F	T	F	Ccnh	F	F	T	F	F	F	F	F	F	F	F	F	F
HRH4	ENSG00000134489	protein_coding	F	F	F	F	Hrh4	F	F	F	F	F	F	F	F	F	F	F	F	F
SLCO1B1	ENSG00000134538	protein_coding	F	T	F	F	Slco1b2	F	F	F	F	F	F	F	F	F	F	F	F	F
PRH2	ENSG00000134551	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
RAB33A	ENSG00000134594	protein_coding	F	F	F	F	Rab33a	F	F	F	F	F	F	F	F	F	F	F	F	F
SOX3	ENSG00000134595	protein_coding	F	T	F	T	Sox3	F	F	F	F	F	F	F	F	F	F	F	F	F
STK26	ENSG00000134602	protein_coding	F	F	F	F	Stk26	F	F	F	F	F	F	F	F	F	F	F	F	F
PIWIL4	ENSG00000134627	protein_coding	F	F	F	T	Piwil4	F	F	F	F	F	F	F	F	F	F	F	F	F
YARS	ENSG00000134684	protein_coding	F	F	T	F		F	F	T	F	T	F	F	F	F	F	F	F	F
PHC2	ENSG00000134686	protein_coding	F	F	F	T	Phc2	F	F	F	F	F	F	F	F	F	T	F	F	F
CDCA8	ENSG00000134690	protein_coding	F	F	T	F	Cdca8	F	F	F	F	F	F	F	F	F	F	F	F	F
GNL2	ENSG00000134697	protein_coding	F	F	T	F	Gnl2	F	F	F	F	F	F	F	F	F	F	F	F	F
DSC2	ENSG00000134755	protein_coding	F	T	F	F	Dsc2	F	F	F	F	F	F	F	F	F	F	F	F	F
DSG3	ENSG00000134757	protein_coding	F	F	F	F	Dsg3	F	F	F	F	F	F	F	F	T	F	F	F	F
DSC3	ENSG00000134762	protein_coding	F	F	F	F	Dsc3	T	F	F	F	F	F	F	F	F	F	F	F	F
DSC1	ENSG00000134765	protein_coding	F	F	F	F	Dsc1	F	F	F	F	F	F	F	F	F	F	F	F	F
TIMM10	ENSG00000134809	protein_coding	F	F	T	F	Timm10	F	F	F	F	F	F	F	F	F	F	F	F	F
APLNR	ENSG00000134817	protein_coding	F	T	F	F	Aplnr	F	F	F	F	F	F	F	F	F	F	F	F	F
C5AR2	ENSG00000134830	protein_coding	F	F	F	F	C5ar2	F	F	T	F	F	F	F	F	F	F	F	F	F
GGACT	ENSG00000134864	protein_coding	F	F	F	F	Ggact	F	F	F	F	T	T	T	F	F	T	F	F	F
CLDN10	ENSG00000134873	protein_coding	F	F	F	F	Cldn10	F	F	T	F	F	F	F	F	F	F	F	F	F
ADAMTS8	ENSG00000134917	protein_coding	F	F	F	F	Adamts8	T	F	F	F	F	F	F	F	F	F	F	F	F
ACRV1	ENSG00000134940	protein_coding	F	F	T	T	Acrv1	F	F	F	F	F	F	F	F	F	F	F	F	F
KLB	ENSG00000134962	protein_coding	F	F	F	F	Klb	F	F	T	F	F	F	F	F	F	F	F	F	F
OSTF1	ENSG00000134996	protein_coding	F	F	F	F	Ostf1	F	F	T	F	F	F	T	F	F	F	F	F	F
C9orf40	ENSG00000135045	protein_coding	F	F	F	F	D030056L22Rik	F	F	F	F	F	F	F	F	F	F	F	F	F
PSAT1	ENSG00000135069	protein_coding	F	F	F	F	Psat1	F	F	F	F	F	F	F	F	F	F	F	F	F
ISCA1	ENSG00000135070	protein_coding	F	F	T	F	AK157302	F	F	F	F	T	F	T	F	F	F	F	F	F
OASL	ENSG00000135114	protein_coding	F	F	F	F	Oasl1	F	F	F	F	F	F	F	F	F	F	F	F	F
DTX1	ENSG00000135144	protein_coding	F	T	F	T	Dtx1	F	F	F	F	F	F	F	F	F	F	F	F	F
TMEM60	ENSG00000135211	protein_coding	F	F	F	F	Tmem60	F	F	F	F	F	F	F	F	F	F	F	F	F
CSN2	ENSG00000135222	protein_coding	F	T	F	F	Csn2	F	F	F	F	F	F	F	F	F	F	F	F	F
UGT2B28	ENSG00000135226	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
ADGRB3	ENSG00000135298	protein_coding	F	F	F	F	Adgrb3	F	F	F	F	F	F	F	F	F	F	F	F	F
HTR1B	ENSG00000135312	protein_coding	F	F	F	F	Htr1b	F	F	F	F	F	F	F	F	F	F	F	F	F
SYNCRIP	ENSG00000135316	protein_coding	F	F	F	F	Syncrip	F	F	T	T	T	F	T	F	F	T	F	F	T
NT5E	ENSG00000135318	protein_coding	F	T	F	F	Nt5e	F	F	T	F	T	F	F	F	F	F	F	F	F
MRAP2	ENSG00000135324	protein_coding	F	F	T	F	Mrap2	F	F	F	F	F	F	F	F	F	F	F	F	F
EPHA7	ENSG00000135333	protein_coding	F	F	F	T	Epha7	F	F	F	F	F	F	F	F	F	F	F	F	F
LCA5	ENSG00000135338	protein_coding	F	F	F	F	Lca5	F	F	F	F	T	F	F	F	F	F	F	F	F
PRR5L	ENSG00000135362	protein_coding	F	F	F	F	Prr5l	F	F	T	F	F	F	F	F	F	F	F	F	F
EHF	ENSG00000135373	protein_coding	T	F	F	T	Ehf	T	F	F	F	F	F	F	F	F	F	F	F	F
PRRG4	ENSG00000135378	protein_coding	F	F	F	F	Prrg4	F	F	F	F	F	F	F	F	F	F	F	F	F
DNAJC14	ENSG00000135392	protein_coding	F	F	F	F	Dnajc14	F	F	T	F	F	F	F	F	F	F	F	F	F
GDF11	ENSG00000135414	protein_coding	F	F	F	T	Gdf11	F	F	F	F	F	F	F	F	F	F	F	F	F
AGAP2	ENSG00000135439	protein_coding	F	F	T	T	Agap2	F	F	T	F	F	F	F	F	F	F	F	F	F
SLC26A10	ENSG00000135502	protein_coding	F	F	F	F	Slc26a10	F	F	F	F	F	F	F	F	F	F	F	F	F
LTV1	ENSG00000135521	protein_coding	F	F	T	F	Ltv1	F	F	F	F	F	F	F	F	F	F	F	F	F
MAP7	ENSG00000135525	protein_coding	F	F	F	F	Map7	F	F	T	T	T	T	T	F	F	T	F	F	F
HEY2	ENSG00000135547	protein_coding	T	T	F	T	Hey2	F	F	F	F	F	F	F	F	F	F	F	F	F
TAAR5	ENSG00000135569	protein_coding	F	F	F	F	Taar5	F	F	F	F	F	F	F	F	F	F	F	F	F
NMBR	ENSG00000135577	protein_coding	F	F	F	F	Nmbr	F	F	F	F	F	F	F	F	F	F	F	F	F
STX11	ENSG00000135604	protein_coding	F	T	F	F	Stx11	F	F	F	F	F	F	F	F	F	F	F	F	F
EGR4	ENSG00000135625	protein_coding	T	F	F	F	Egr4	F	F	T	F	F	F	F	F	F	F	F	F	F
CHST5	ENSG00000135702	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
AGT	ENSG00000135744	protein_coding	F	T	F	T	Agt	F	F	F	F	F	F	F	F	F	F	F	F	F
URB2	ENSG00000135763	protein_coding	F	F	T	F	Urb2	F	F	F	F	F	T	F	F	F	F	F	F	F
NTPCR	ENSG00000135778	protein_coding	F	F	F	F	Ntpcr	F	F	F	F	F	F	F	F	F	F	F	F	F
RNASEL	ENSG00000135828	protein_coding	F	F	F	F	Rnasel	T	F	F	F	F	F	F	F	F	F	F	F	F
KIAA1614	ENSG00000135835	protein_coding	F	F	F	F	BC034090	F	F	F	F	F	F	F	F	F	F	F	F	F
NPL	ENSG00000135838	protein_coding	F	F	T	F	Npl	F	F	T	F	F	F	F	F	F	F	F	F	F
PIGC	ENSG00000135845	protein_coding	F	F	T	F	Pigc	F	F	F	F	F	F	F	F	F	F	F	F	F
GPR55	ENSG00000135898	protein_coding	F	F	F	F	Gpr55	F	F	F	F	F	F	F	F	F	F	F	F	F
SP110	ENSG00000135899	protein_coding	F	T	F	F	AC132444.3	F	F	F	F	F	F	F	F	F	F	F	F	F
MRPL44	ENSG00000135900	protein_coding	F	F	T	F	Mrpl44	F	F	F	F	F	F	F	F	F	F	F	F	F
CHRND	ENSG00000135902	protein_coding	F	F	F	T	Chrnd	F	F	F	F	F	F	F	F	F	F	F	F	F
HTR2B	ENSG00000135914	protein_coding	F	F	F	T	Htr2b	F	F	T	F	F	F	F	F	F	F	F	F	F
TMEM127	ENSG00000135956	protein_coding	F	F	F	F	Tmem127	T	F	F	F	F	F	F	F	F	F	F	F	F
EDAR	ENSG00000135960	protein_coding	F	F	T	T	Edar	F	F	F	F	F	F	F	F	F	F	F	F	F
TGFBRAP1	ENSG00000135966	protein_coding	F	F	F	F	Tgfbrap1	F	F	F	F	F	F	F	F	T	F	F	F	F
GPR45	ENSG00000135973	protein_coding	F	F	F	F	Gpr45	F	F	F	F	F	F	F	F	F	F	F	F	F
C2orf49	ENSG00000135974	protein_coding	F	F	T	F	AI597479	F	F	F	F	F	F	F	F	F	F	F	F	F
CNMD	ENSG00000136110	protein_coding	F	F	F	F	Cnmd	F	F	F	F	F	F	F	F	F	F	F	F	F
THSD1	ENSG00000136114	protein_coding	F	F	F	F	Thsd1	T	F	F	F	F	F	F	F	F	F	F	F	F
MED4	ENSG00000136146	protein_coding	F	F	T	F	Med4	F	F	F	F	F	F	F	F	F	F	F	F	F
SPRY2	ENSG00000136158	protein_coding	F	T	F	F	Spry2	T	F	F	F	F	F	F	F	F	F	F	F	F
NUDT15	ENSG00000136159	protein_coding	F	F	T	F	Nudt15	F	F	F	F	F	F	F	F	F	F	F	F	F
EDNRB	ENSG00000136160	protein_coding	F	T	F	T	Ednrb	T	F	F	F	F	F	F	F	F	F	F	F	F
C7orf25	ENSG00000136197	protein_coding	F	F	F	F	AW209491	F	F	F	F	F	F	F	F	F	F	F	F	F
SPDYE1	ENSG00000136206	protein_coding	F	F	F	F	Spdye4b	F	F	F	F	F	F	F	F	F	F	F	F	F
MYO1G	ENSG00000136286	protein_coding	F	F	F	F	Myo1g	F	F	F	F	T	F	F	F	F	F	F	F	F
MMD2	ENSG00000136297	protein_coding	F	F	F	F	Mmd2	F	F	T	F	F	F	F	F	F	F	F	F	F
NKX2-8	ENSG00000136327	protein_coding	F	F	F	T	Nkx2-9	T	F	F	F	F	F	F	F	F	F	F	F	F
NKX2-1	ENSG00000136352	protein_coding	T	T	F	T	Nkx2-1	F	F	F	F	F	F	F	F	F	F	F	F	F
MTHFS	ENSG00000136371	protein_coding	F	F	F	F	Mthfs	F	F	T	F	F	F	F	F	F	F	F	F	F
VEZF1	ENSG00000136451	protein_coding	T	F	T	T	Vezf1	F	F	T	F	F	F	T	F	F	T	F	F	F
CHAD	ENSG00000136457	protein_coding	F	F	T	T	Chad	F	F	F	F	F	F	F	F	F	F	F	F	F
GH2	ENSG00000136487	protein_coding	F	T	F	F	Gh	F	F	F	F	F	F	F	F	F	F	F	F	F
RTP4	ENSG00000136514	protein_coding	F	F	F	F	Rtp4	F	F	F	F	F	F	F	F	F	F	F	F	F
MRPL47	ENSG00000136522	protein_coding	F	F	T	F	Mrpl47	F	F	F	F	F	F	F	F	F	F	F	F	F
IL36G	ENSG00000136688	protein_coding	F	F	F	F	Il1f9	F	F	F	F	F	F	F	F	F	F	F	F	F
IL36A	ENSG00000136694	protein_coding	F	F	F	F	Il1f6	F	F	F	F	F	F	F	F	F	F	F	F	F
IL36RN	ENSG00000136695	protein_coding	F	F	F	F	Il1f5	F	F	F	F	F	F	F	F	F	F	F	F	F
IL36B	ENSG00000136696	protein_coding	F	F	F	F	Il1f8	F	F	F	F	F	F	F	F	F	F	F	F	F
CFC1	ENSG00000136698	protein_coding	F	F	F	T	Cfc1	F	F	F	F	F	F	F	F	F	F	F	F	F
WDR33	ENSG00000136709	protein_coding	F	F	T	F	Wdr33	F	F	T	T	T	T	T	F	T	T	F	T	T
SAP130	ENSG00000136715	protein_coding	F	F	T	F	Sap130	F	F	T	F	T	F	F	F	T	F	F	F	F
HS6ST1	ENSG00000136720	protein_coding	F	F	F	T	Hs6st1	F	F	F	F	T	F	F	F	F	F	F	F	F
KLF4	ENSG00000136826	protein_coding	T	T	F	T	Klf4	T	F	F	F	F	F	F	F	F	F	F	F	F
OR1J1	ENSG00000136834	protein_coding	F	F	T	F	Olfr3	F	F	F	F	F	F	F	F	F	F	F	F	F
OR13C9	ENSG00000136839	protein_coding	F	F	F	F	Olfr271-ps1	F	F	F	F	F	F	F	F	F	F	F	F	F
TMOD1	ENSG00000136842	protein_coding	F	F	F	T	Tmod1	F	F	F	F	F	F	F	F	F	F	F	F	F
ZFP37	ENSG00000136866	protein_coding	F	F	F	T	Zfp37	F	F	F	F	F	F	F	F	F	F	F	F	F
ZNF189	ENSG00000136870	protein_coding	F	F	F	F	Zfp189	F	F	F	F	F	F	F	F	F	F	F	F	F
FPGS	ENSG00000136877	protein_coding	F	T	T	F	Fpgs	F	F	F	F	F	F	T	F	F	F	F	F	F
USP20	ENSG00000136878	protein_coding	F	F	F	F	Usp20	F	F	T	F	F	F	F	F	F	F	F	F	F
BAAT	ENSG00000136881	protein_coding	F	F	F	F	Baat	F	F	F	F	F	F	T	F	F	F	F	F	F
MRPL50	ENSG00000136897	protein_coding	F	F	T	F	Mrpl50	F	F	F	F	F	F	T	F	F	F	F	F	F
DPM2	ENSG00000136908	protein_coding	F	F	T	F	Dpm2	F	F	F	F	T	F	F	F	F	F	F	F	F
WDR38	ENSG00000136918	protein_coding	F	F	T	F	Wdr38	F	F	F	F	F	F	F	F	F	F	F	F	F
HEMGN	ENSG00000136929	protein_coding	F	T	F	T	Hemgn	F	F	T	F	F	F	F	F	F	F	F	F	F
PSMB7	ENSG00000136930	protein_coding	F	F	T	F	Psmb7	F	F	F	F	T	F	T	F	F	F	F	F	F
NR5A1	ENSG00000136931	protein_coding	T	T	F	T	Nr5a1	F	F	F	F	T	F	F	F	F	F	F	F	F
RABEPK	ENSG00000136933	protein_coding	F	F	F	F	Rabepk	F	F	T	F	T	F	T	F	F	F	F	F	F
OR1L4	ENSG00000136939	protein_coding	F	F	F	F		F	F	F	F	F	F	F	F	F	F	F	F	F
PDCL	ENSG00000136940	protein_coding	F	F	T	F	Pdcl	F	F	F	F	F	F	F	F	F	F	F	F	F
LMX1B	ENSG00000136944	protein_coding	T	F	F	T	Lmx1b	F	F	F	F	F	F	F	F	F	F	F	F	F
RANBP6	ENSG00000137040	protein_coding	F	F	F	F	Ranbp6	F	F	T	F	F	F	T	F	F	F	F	F	F
CCL21	ENSG00000137077	protein_coding	F	F	F	F	Gm13304	F	F	F	F	F	F	F	F	F	F	F	F	F
IFNA21	ENSG00000137080	protein_coding	F	F	F	F	Ifna1	F	F	F	F	F	F	F	F	F	F	F	F	F
DMRT1	ENSG00000137090	protein_coding	F	T	F	T	Dmrt1	F	F	F	F	F	F	F	F	F	F	F	F	F
DCTN3	ENSG00000137100	protein_coding	F	T	T	F	Dctn3	F	F	F	F	F	F	F	F	F	F	F	F	F
ALDH1B1	ENSG00000137124	protein_coding	F	F	F	F	Aldh1b1	F	F	F	F	T	F	F	F	F	F	F	F	F
HINT2	ENSG00000137133	protein_coding	F	F	F	F	Hint2	F	F	F	F	F	F	F	F	F	F	F	F	F
IGFBPL1	ENSG00000137142	protein_coding	F	F	F	F	Igfbpl1	T	F	F	F	F	F	F	F	F	F	F	F	F
CNPY3	ENSG00000137161	protein_coding	F	F	F	F	Cnpy3	F	F	F	F	T	F	F	F	F	F	F	F	F
FOXP4	ENSG00000137166	protein_coding	F	F	F	T	Foxp4	F	F	T	F	T	F	T	F	F	T	F	F	F
PPIL1	ENSG00000137168	protein_coding	F	F	T	F	Ppil1	F	F	F	F	T	F	F	F	F	F	F	F	F
SLC22A7	ENSG00000137204	protein_coding	F	F	F	F	Slc22a7	F	F	F	F	F	F	F	F	F	F	F	F	F
TINAG	ENSG00000137251	protein_coding	F	F	F	T	Tinag	F	F	F	F	F	F	F	F	F	F	F	F	F
HCRTR2	ENSG00000137252	protein_coding	F	F	F	F	Hcrtr2	F	F	F	F	F	F	F	F	F	F	F	F	F
KIAA0319	ENSG00000137261	protein_coding	F	F	F	T	D130043K22Rik	F	F	F	F	F	F	F	F	F	F	F	F	F
GCM1	ENSG00000137270	protein_coding	T	F	F	T	Gcm1	F	F	F	F	F	F	F	F	F	F	F	F	F
FOXF2	ENSG00000137273	protein_coding	T	F	F	T	Foxf2	F	F	T	F	T	F	F	F	F	F	F	T	F
RIPK1	ENSG00000137275	protein_coding	F	F	F	F	Ripk1	F	T	T	F	F	F	T	F	F	F	F	F	F
UQCC2	ENSG00000137288	protein_coding	F	F	F	F	Uqcc2	F	F	F	F	F	F	F	F	F	F	F	F	F
IER3	ENSG00000137331	protein_coding	F	T	F	F	Ier3	T	F	F	F	F	F	F	F	F	F	F	F	F
PGBD1	ENSG00000137338	protein_coding	F	F	F	F	Pgbd1	F	F	F	F	F	F	F	F	F	F	F	F	F
TPMT	ENSG00000137364	protein_coding	F	T	F	F	Tpmt	F	F	F	F	F	F	F	F	F	F	F	F	F
CLPS	ENSG00000137392	protein_coding	F	F	F	T	Clps	F	F	F	F	F	F	F	F	F	F	F	F	F
NRM	ENSG00000137404	protein_coding	F	F	F	F	Nrm	F	F	T	F	T	F	F	F	F	F	F	F	F
FAM8A1	ENSG00000137414	protein_coding	F	F	F	F	Fam8a1	F	F	F	F	F	F	F	F	F	F	F	F	F
FGFBP1	ENSG00000137440	protein_coding	F	T	F	F	Fgfbp1	F	F	F	F	T	F	F	F	F	F	F	F	F
FHDC1	ENSG00000137460	protein_coding	F	F	F	F	Fhdc1	F	F	T	F	T	F	F	F	F	F	F	F	F
MGARP	ENSG00000137463	protein_coding	F	F	F	F	Mgarp	F	F	T	T	T	F	F	F	F	F	F	F	F
RAB30	ENSG00000137502	protein_coding	F	F	F	F	Rab30	F	F	F	F	T	F	T	F	F	F	F	F	F
CREBZF	ENSG00000137504	protein_coding	F	F	T	F	Crebzf	F	F	T	F	F	F	F	F	F	F	F	F	F
